日付,部署,タイトル,本文,画像,掲載,リンクURL,リンク文言
2026-08-23,ガード部,2026年 夏季監視活動が終了しました,2026年の夏季監視活動が終了しました。南房総市（南千倉・瀬戸浜）は7月17日から8月16日までの31日間、館山市（北条・新井・沖ノ島・波左間）は7月18日から8月23日までの37日間、2市6か所の海水浴場で監視にあたりました。期間中、重大な事故はありませんでした。海水浴場の開設期間を過ぎた海に監視はありません。離岸流やフラッグの意味は「水辺の安全」のページに掲載しています。,20260823.jpg,公開,,
2026-08-09,ガード部,トライアスロン夏合宿のライフガードを担当しました,2026年8月8日（土）・9日（日）、館山市の北条海岸で開催されたトライアスロンの夏合宿（主催：Triathlon Lumina）において、オープンウォータースイムのライフガードを担当しました。浜と海上の双方に監視を配置し、2日間の日程を終了しました。当クラブでは、大会・合宿・イベントにおけるライフガード（水上安全管理）の依頼を受け付けています。,20260809.jpg,公開,https://triathlon-lumina.com/e001396/,合宿の詳細（主催者ページ）
2026-07-18,ガード部,2026年 夏季監視活動が始まりました,2026年の夏季監視活動を開始しました。南房総市（南千倉・瀬戸浜）は7月17日から、館山市（北条・新井・沖ノ島・波左間）は7月18日から、2市6か所の海水浴場で監視にあたります。遊泳区域は赤と黄色のフラッグで示しています。,20260718.jpg,公開,,
2026-06-20,競技部・ユース,第39回全日本ライフセービング種目別選手権大会に出場しました,2026年6月20日（土）・21日（日）、福井県大飯郡高浜町の若狭和田ビーチで、公益財団法人日本ライフセービング協会の主催により第39回全日本ライフセービング種目別選手権大会が開催されました。館山サーフクラブからも選手が出場し、2日間にわたって行われたオーシャン種目の各競技に臨みました。,20260620.jpg,公開,https://ls.jla-lifesaving.or.jp/lifesaving-sports/event-schedule/no39-surfcarnival/,大会概要（日本ライフセービング協会）
2026-05-30,競技部・ユース・ジュニア,第28回神奈川県ライフセービング選手権大会に出場しました,2026年5月30日（土）・31日（日）、神奈川県三浦市の三浦海岸で、一般社団法人神奈川県ライフセービング協会の主催により第28回神奈川県ライフセービング選手権大会が開催されました。館山サーフクラブからも選手が出場し、2日間にわたって行われた各競技に臨みました。,20260530.jpg,公開,https://lifesaving.ne.jp/%e6%9c%aa%e5%88%86%e9%a1%9e/%e3%80%90%e5%a4%a7%e4%bc%9a%ef%bc%92%e6%ac%a1%e8%a6%81%e9%a0%85%e8%b3%87%e6%a0%bc%e7%a2%ba%e8%aa%8d%e7%ad%89%e3%80%91%e7%ac%ac28%e5%9b%9e%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c%e3%83%a9%e3%82%a4.html,大会要項（神奈川県ライフセービング協会）
2026-04-11,ジュニア,2026年度1回目のジュニアプログラムを実施しました,2026年4月11日（土）、2026年度1回目のジュニアプログラムを実施しました。前半は津波を想定した避難経路の確認を行い、津波避難ビルに指定されている安房高校までの経路を歩いて確認しました。後半は海に移動し、水に入っての活動を行いました。,20260411.jpg,公開,,
2026-04-12,ユース,2026年度1回目のユーストレーニングを実施しました,2026年4月12日（日）、2026年度1回目のユーストレーニングを南房総市の南千倉海岸で実施しました。浜での準備運動のあと海に入り、レスキューボードを使った練習を行いました。,20260412.jpg,公開,,
